Company,Sector,Date,index,Price,Open,High,Low,Change %,vol multiplier,Volume,Company Name,SubSector,Market Classification,Shares Outstanding,Market Cap
NB,CONSUMER GOODS,2000-06-22,4885,0.17,0.17,0.17,0.17,0.00%,1000000.0,14270000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5267114576.400001
NB,CONSUMER GOODS,2000-06-23,4884,0.17,16.68,0.17,0.17,0.00%,1000000.0,43040000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5267114576.400001
NB,CONSUMER GOODS,2000-06-26,4883,0.17,16.68,0.17,0.17,0.00%,1000000.0,4740000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5267114576.400001
NB,CONSUMER GOODS,2000-06-27,4882,0.17,16.76,0.17,0.17,0.00%,1000000.0,26800000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5267114576.400001
NB,CONSUMER GOODS,2000-06-28,4881,0.17,16.77,19.32,13.48,0.00%,1000000.0,27450000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5267114576.400001
NB,CONSUMER GOODS,2000-06-29,4880,0.17,16.77,0.17,0.17,0.00%,1000000.0,34260000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5267114576.400001
NB,CONSUMER GOODS,2000-06-30,4879,0.17,0.17,0.17,0.17,0.00%,1000000.0,140160000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5267114576.400001
NB,CONSUMER GOODS,2000-07-03,4878,0.17,16.64,0.17,0.17,0.00%,1000000.0,18680000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5267114576.400001
NB,CONSUMER GOODS,2000-07-04,4877,0.17,16.64,0.17,0.17,0.00%,1000000.0,42160000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5267114576.400001
NB,CONSUMER GOODS,2000-07-05,4876,0.17,16.64,0.17,0.17,0.00%,1000000.0,24510000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5267114576.400001
NB,CONSUMER GOODS,2000-07-06,4875,0.17,16.64,0.17,0.17,0.00%,1000000.0,150580000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5267114576.400001
